Degree,Cols1,Rows1,Finger,Stage,Level,Bend,SG1_0,SG1_1,SG1_2,SG1_3,SG1_4,SG1_5,SG1_6,SG1_7,Cols2,Rows2,SG2_0,SG2_1,SG2_2,SG2_3,SG2_4,SG2_5,SG2_6,SG2_7
0,0,0,0,1,0,false,1.0034965,1.0174825,0.9968944,0.98753893,1.0031847,1.0030864,0.9934211,0.99346405,4,3,1.0173612,1.0291262,1.0254776,1.024735,1.0129032,1.0096463,1.0126582,1.0126183
0,0,0,0,1,1,false,0.93356645,0.9370629,0.93167704,0.8286604,0.6687898,0.6697531,0.79605263,0.6960784,4,3,1.03125,1.1035599,1.0923567,1.0671378,1.0129032,0.977492,0.9968355,0.9968454
0,0,0,0,1,2,false,0.9755245,1.006993,1.0031056,0.9190031,1.1242038,1.0679013,0.99671054,0.99346405,4,3,0.9861111,0.97411,0.9681529,0.99293286,1.0225806,1.0675241,1.050633,1.0347003
0,0,0,0,2,0,true,0.97202796,0.97902095,0.95652175,0.8847352,0.87261146,0.8425926,0.8815789,0.83006537,4,3,0.9895833,1.0064725,1.0095541,1.024735,1.016129,1.0321543,1.0348102,1.0315458
0,0,0,0,2,1,true,0.75874126,0.6503497,0.67391306,0.60747665,0.39490446,0.3271605,0.6743421,0.39542484,4,3,0.9826389,1.0906149,1.089172,1.0742049,1.0193548,0.9871383,1.0126582,1.0189275
0,0,0,0,2,2,true,1.1363636,1.1503496,1.0465839,1.1775701,1.0191083,0.9907407,0.99013156,0.9738562,4,3,0.90625,0.83495146,0.84076434,0.91519433,1.016129,1.0996784,1.0822785,1.0504732
0,0,0,0,3,1,false,0.7867133,0.6573427,0.68944097,0.58878505,0.40764332,0.32407406,0.67105263,0.42156863,4,3,0.9791667,1.0841424,1.0796179,1.0600706,1.016129,0.9903537,1.022152,1.0031545
0,0,0,0,3,1,true,0.73426574,0.5174825,0.67391306,0.5638629,0.2834395,0.2345679,0.5427632,0.34313726,4,3,0.9652778,1.0550162,1.0573249,1.0600706,1.0193548,0.9678457,1.0126582,1.0094637
0,0,0,0,4,0,false,0.90909094,0.8811189,0.9068323,0.88785046,0.8694267,0.8240741,0.8388158,0.8071895,4,3,0.9305556,0.9093851,0.9235669,0.9717314,1.016129,1.0578778,1.0696203,1.0378549
0,0,0,0,4,0,true,0.8321678,0.75174826,0.8074534,0.7601246,0.5063694,0.50308645,0.7105263,0.5392157,4,3,0.9375,0.98058254,0.9936306,1.0141343,1.016129,1.0385852,1.0601265,1.0410094
0,0,0,0,5,2,false,1.0,1.006993,0.99068326,1.0155764,0.9267516,0.91049385,0.93421054,0.9313725,4,3,0.9305556,0.8867314,0.8789809,0.9399293,1.0193548,1.0707395,1.0822785,1.0094637
0,0,0,0,5,2,true,0.97902095,0.951049,0.94720495,0.99688476,0.70382166,0.70987654,0.8059211,0.74509805,4,3,0.9513889,0.9644013,0.955414,0.9858657,1.0225806,1.0546623,1.0727848,1.0157728
0,0,0,1,1,0,false,0.94755244,0.9195804,0.93167704,0.9190031,0.79617834,0.7808642,0.8388158,0.8137255,4,3,0.9548611,0.9514563,0.955414,0.9858657,1.0258064,1.0546623,1.0727848,1.022082
0,0,0,1,1,1,false,0.96153843,0.9055944,0.91925466,0.97819316,0.77388537,0.7407407,0.7993421,0.74509805,4,3,0.9583333,0.99029124,1.0,1.024735,1.0290322,1.0482315,1.0696203,1.0347003
0,0,0,1,1,2,false,0.9055944,0.8566434,0.93167704,1.0031153,0.81528664,0.85493827,0.9309211,0.8856209,4,3,0.9375,0.89320385,0.89171976,0.94699645,1.032258,1.0900321,1.085443,1.0378549
0,0,0,1,2,0,true,0.9195804,0.9020979,0.9378882,0.9283489,0.8789809,0.8703704,0.88486844,0.86601305,4,3,1.0,1.0097088,0.99681526,1.0106007,1.0354838,1.0546623,1.0727848,1.0126183
0,0,0,1,2,1,true,1.0419581,0.9895105,0.9720497,0.97819316,0.6369427,0.5617284,0.7302632,0.50980395,4,3,0.9513889,1.0194175,1.022293,1.0318022,1.0354838,1.045016,1.0696203,1.0189275
0,0,0,1,2,2,true,0.8881119,0.8496503,0.91925466,0.96884733,0.8057325,0.8425926,0.8980263,0.8627451,4,3,1.0555556,1.1035599,1.044586,1.0176679,1.0258064,0.99678457,1.0348102,0.9305994
0,0,0,1,3,1,false,1.0,0.9195804,0.9378882,0.99065423,0.7579618,0.7345679,0.8059211,0.75490195,4,3,0.9895833,1.02589,1.0254776,1.0353357,1.0387096,1.0418006,1.0664557,1.0189275
0,0,0,1,3,1,true,1.0664335,1.0034965,1.0,1.0,0.64649683,0.55864197,0.7138158,0.45751634,4,3,0.9548611,1.0291262,1.0382166,1.0424029,1.0387096,1.0482315,1.0759493,1.0252366
0,0,0,1,4,0,false,0.9370629,0.88461536,0.93167704,0.9376947,0.8057325,0.7962963,0.8486842,0.8169935,4,3,0.9861111,1.0,0.99681526,1.0176679,1.0354838,1.0418006,1.0664557,1.0094637
0,0,0,1,4,0,true,0.8986014,0.8741259,0.91925466,0.95015574,0.8121019,0.80246913,0.8486842,0.8137255,4,3,0.9791667,0.99352753,0.98407644,1.0035336,1.0419354,1.0643086,1.079114,1.0157728
0,0,0,1,5,2,false,0.9230769,0.87762237,0.9409938,0.99688476,0.77707005,0.8302469,0.9177632,0.86928105,4,3,0.9791667,0.95469254,0.933121,0.9681979,1.0354838,1.0610932,1.0696203,0.9968454
0,0,0,1,5,2,true,0.90909094,0.8741259,0.92236024,0.9376947,0.8312102,0.8271605,0.87171054,0.8366013,4,3,1.0138888,1.0355988,1.0095541,1.0141343,1.0354838,1.0353698,1.056962,0.9842271
0,0,0,2,1,0,false,0.9440559,0.8881119,0.9347826,0.92523366,0.85350317,0.8271605,0.8684211,0.83986926,4,3,1.0069444,1.0291262,1.0127388,1.0212014,1.032258,1.022508,1.050633,0.9873817
0,0,0,2,1,1,false,0.93356645,0.8636364,0.93167704,0.9127726,0.85987264,0.8611111,0.8947368,0.8627451,4,3,1.0347222,1.0776699,1.0636942,1.04947,1.0354838,1.0160772,1.0474683,0.9873817
0,0,0,2,1,2,false,0.8951049,0.8041958,0.88509315,0.86292833,0.77070063,0.7345679,0.78289473,0.6993464,4,3,1.1111112,1.2135923,1.1687899,1.0989399,1.0387096,0.9678457,0.9968355,0.9495268
0,0,0,2,2,0,true,0.91608393,0.8006993,0.8540373,0.7943925,0.6751592,0.6203704,0.7269737,0.60784316,4,3,1.1215278,1.2524272,1.2038217,1.1166078,1.0354838,0.94212216,0.98101264,0.9400631
0,0,0,2,2,1,true,0.9370629,0.82167834,0.8416149,0.8068536,0.62738854,0.5555556,0.70394737,0.5620915,4,3,1.0902778,1.2394822,1.2038217,1.1236749,1.0354838,0.94212216,0.98417723,0.9432177
0,0,0,2,2,2,true,0.9055944,0.8041958,0.83229816,0.76635516,0.64012736,0.5802469,0.7105263,0.59150326,4,3,1.1180556,1.2556634,1.200637,1.1166078,1.032258,0.94212216,0.98101264,0.92429024
0,0,0,2,3,1,false,0.93356645,0.84615386,0.9254658,0.90342677,0.82165605,0.8055556,0.8519737,0.8039216,4,3,1.0347222,1.0776699,1.066879,1.0565372,1.0354838,1.0032154,1.0253165,0.9905363
0,0,0,2,3,1,true,0.9370629,0.8181818,0.85714287,0.8099688,0.6942675,0.6265432,0.7236842,0.60784316,4,3,1.0729166,1.1909385,1.1656051,1.1060071,1.0290322,0.96463025,1.0031645,0.96529967
0,0,0,2,4,0,false,0.94055945,0.8496503,0.89751554,0.8566978,0.7197452,0.69135803,0.77960527,0.7091503,4,3,1.0347222,1.0938511,1.0764331,1.0600706,1.0290322,0.99356914,1.022152,0.97791797
0,0,0,2,4,0,true,0.9370629,0.83566433,0.83229816,0.7757009,0.64649683,0.55864197,0.70394737,0.5588235,4,3,1.0694444,1.1974111,1.1687899,1.1060071,1.0290322,0.9614148,0.9968355,0.9589905
0,0,0,2,5,2,false,0.91608393,0.8006993,0.84782606,0.7757009,0.6242038,0.595679,0.72039473,0.5980392,4,3,1.0416666,1.1132686,1.0859872,1.0636042,1.0354838,1.0128617,1.0253165,0.99369085
0,0,0,2,5,2,true,0.92657346,0.83566433,0.83229816,0.7694704,0.656051,0.56790125,0.70394737,0.5686275,4,3,1.0763888,1.1941748,1.1624204,1.1024735,1.0290322,0.96463025,0.9936709,0.9621451
0,0,0,3,1,0,false,0.93356645,0.83916086,0.89440995,0.85046726,0.70382166,0.68209875,0.7763158,0.70261437,4,3,1.0277778,1.0841424,1.0732484,1.0600706,1.032258,1.0032154,1.028481,0.99369085
0,0,0,3,1,1,false,0.91608393,0.8321678,0.9161491,0.9096573,0.656051,0.69753087,0.8388158,0.74509805,4,3,1.0625,1.1003237,1.0700637,1.0565372,1.0419354,1.0482315,1.0443038,1.0189275
0,0,0,3,1,2,false,0.92657346,0.82167834,0.89440995,0.8598131,0.72611463,0.6944444,0.77960527,0.6993464,4,3,1.1041666,1.1812298,1.133758,1.0848056,1.0354838,0.99356914,1.006329,0.9747634
0,0,0,3,2,0,true,0.95454544,0.86713284,0.9037267,0.88785046,0.67834395,0.68209875,0.7993421,0.7254902,4,3,1.0763888,1.1359223,1.089172,1.0530035,1.0419354,1.0,1.022152,0.95268136
0,0,0,3,2,1,true,0.9440559,0.86013985,0.9130435,0.88785046,0.74840766,0.7345679,0.81578946,0.7745098,4,3,1.0694444,1.1359223,1.1146497,1.0742049,1.0354838,0.9903537,1.0189873,0.96529967
0,0,0,3,2,2,true,0.94755244,0.86013985,0.90993786,0.89096576,0.74840766,0.7345679,0.81578946,0.7745098,4,3,1.0694444,1.1359223,1.1146497,1.0777385,1.0387096,0.99356914,1.022152,0.96529967
0,0,0,3,3,1,false,0.94055945,0.86013985,0.9161491,0.89096576,0.7420382,0.7376543,0.81578946,0.77124184,4,3,1.0694444,1.1262136,1.0987262,1.0706713,1.0387096,0.9903537,1.0158228,0.96845424
0,0,0,3,3,1,true,0.93356645,0.83916086,0.9161491,0.88785046,0.7324841,0.7376543,0.82236844,0.76797384,4,3,1.09375,1.1521035,1.1146497,1.0777385,1.0451612,0.99678457,1.0158228,0.96845424
0,0,0,3,4,0,false,0.94055945,0.8566434,0.9161491,0.894081,0.7420382,0.7345679,0.82236844,0.76797384,4,3,1.0347222,1.0679612,1.0573249,1.04947,1.0387096,1.0064309,1.028481,0.98107255
0,0,0,3,4,0,true,0.9300699,0.83916086,0.9037267,0.87227416,0.72292995,0.7160494,0.8125,0.7352941,4,3,1.125,1.2233009,1.1560509,1.0777385,1.032258,0.9614148,0.98734176,0.9179811
0,0,0,3,5,2,false,0.93356645,0.84615386,0.9068323,0.88161993,0.7420382,0.72839504,0.80921054,0.74509805,4,3,1.0381944,1.0841424,1.0573249,1.0388693,1.032258,0.99678457,1.0158228,0.9589905
0,0,0,3,5,2,true,0.92657346,0.82867134,0.89751554,0.86292833,0.72292995,0.70987654,0.80263156,0.72875816,4,3,1.1388888,1.2491909,1.1783439,1.0883392,1.032258,0.9517685,0.98101264,0.9148265
0,0,0,4,1,0,false,0.94055945,0.8496503,0.9068323,0.88161993,0.7165605,0.70987654,0.80921054,0.748366,4,3,1.0416666,1.0809062,1.066879,1.04947,1.0354838,1.0032154,1.0253165,0.9747634
0,0,0,4,1,1,false,0.93356645,0.8706294,0.9285714,0.95327103,0.75159234,0.7777778,0.875,0.83006537,4,3,1.1666666,1.2168285,1.1210191,1.0459363,1.0419354,0.99356914,0.9968355,0.92113566
0,0,0,4,1,2,false,0.92657346,0.8566434,0.92236024,0.91588783,0.7834395,0.77160496,0.8388158,0.7875817,4,3,1.0416666,1.0809062,1.0700637,1.0636042,1.0516129,1.0257235,1.0443038,1.0031545
0,0,0,4,2,0,true,0.94055945,0.8566434,0.91925466,0.89719623,0.72611463,0.72839504,0.8256579,0.77124184,4,3,1.0798612,1.1262136,1.0828025,1.04947,1.0451612,1.0032154,1.0158228,0.9621451
0,0,0,4,2,1,true,0.94055945,0.85314685,0.90993786,0.88785046,0.68471336,0.7006173,0.81578946,0.75490195,4,3,1.0868056,1.1456311,1.0923567,1.04947,1.048387,1.022508,1.0253165,0.9621451
0,0,0,4,2,2,true,0.9440559,0.85314685,0.9130435,0.8753894,0.7197452,0.7160494,0.80921054,0.74509805,4,3,1.0381944,1.0744337,1.0573249,1.0424029,1.048387,1.0289389,1.0411392,0.9873817
0,0,0,4,3,1,false,0.93356645,0.8566434,0.92236024,0.9283489,0.7611465,0.7685185,0.8552632,0.8071895,4,3,1.1006944,1.1359223,1.0796179,1.0424029,1.0451612,1.0,1.006329,0.95583594
0,0,0,4,3,1,true,0.9370629,0.85314685,0.9161491,0.9096573,0.7006369,0.72530866,0.8355263,0.7777778,4,3,1.1180556,1.1747572,1.1019108,1.0459363,1.0419354,0.99678457,1.0031645,0.93690854
0,0,0,4,4,0,false,0.94055945,0.86013985,0.9254658,0.9127726,0.7898089,0.7839506,0.8486842,0.8039216,4,3,1.0347222,1.0550162,1.0350318,1.0353357,1.0419354,1.0160772,1.0253165,0.98107255
0,0,0,4,4,0,true,0.94055945,0.8636364,0.9254658,0.89719623,0.7834395,0.7685185,0.8388158,0.7908497,4,3,1.0381944,1.0582525,1.0414013,1.0353357,1.0419354,1.0160772,1.0316455,0.97791797
0,0,0,4,5,2,false,0.9300699,0.8636364,0.9161491,0.88785046,0.7898089,0.75617284,0.81578946,0.7614379,4,3,0.9930556,1.0291262,1.0318471,1.0424029,1.0451612,1.0353698,1.056962,1.0126183
0,0,0,4,5,2,true,0.9440559,0.8636364,0.90993786,0.8847352,0.6910828,0.7006173,0.8125,0.75490195,4,3,1.0868056,1.1391586,1.089172,1.04947,1.0354838,1.0032154,1.0189873,0.9463722
0,0,1,0,1,0,false,0.98349833,0.971246,0.975265,0.9533333,0.94699645,0.9400749,0.9619377,0.9411765,4,2,0.9903226,0.99335545,0.984985,0.9837133,0.99319726,1.0,0.996875,0.99346405
0,0,1,0,1,1,false,0.88448846,0.8626198,0.8692579,0.93,0.5335689,0.43820226,0.67128026,0.46691176,4,2,0.9967742,1.0996678,1.075075,1.0325733,0.99659866,0.99376947,0.990625,0.996732
0,0,1,0,1,2,false,0.8811881,0.90415335,0.8869258,0.93,0.819788,0.76779026,0.8546713,0.7977941,4,2,0.9032258,0.89700997,0.8978979,0.90879476,0.9047619,0.90342677,0.9125,0.9117647
0,0,1,0,2,0,true,1.0,0.99378884,0.9970588,0.95151514,0.9139073,0.8819444,0.9216301,0.875,4,2,1.007435,1.0134228,1.0181818,1.0199336,1.0150602,1.0237389,1.0214286,1.0334573
0,0,1,0,2,1,true,0.8084291,0.89751554,0.89705884,0.8545455,0.57284766,0.4861111,0.7178683,0.5101351,4,2,1.070632,1.1946309,1.1757575,1.1196014,1.0421686,1.041543,1.05,1.0669144
0,0,1,0,2,2,true,1.0574713,1.0745342,1.0558823,1.0393939,1.1258278,1.1215278,1.0783699,1.0912162,4,2,1.0334573,0.97315437,0.9757576,1.0166113,1.0481927,1.0623145,1.075,1.078067
0,0,1,0,3,1,false,0.8888889,0.8913044,0.85882354,0.8,0.5927152,0.5243056,0.7523511,0.6047297,4,2,1.0594796,1.1610738,1.1575757,1.1096345,1.0361446,1.0326409,1.05,1.0669144
0,0,1,0,3,1,true,0.75095785,0.91925466,0.9823529,0.91515154,0.33443707,0.32291666,0.61755484,0.3310811,4,2,1.0297397,1.1879195,1.1787878,1.1262459,1.0421686,1.0385756,1.05,1.0743494
0,0,1,0,4,0,false,1.1072797,1.1118013,1.0735294,1.0151515,1.0728477,1.0347222,1.0376176,0.9932432,4,2,1.1486989,1.1409396,1.1393939,1.1528239,1.1174699,1.1186943,1.1571429,1.1858736
0,0,1,0,4,0,true,1.065134,1.0776397,1.05,0.9787879,0.9701987,0.9201389,0.9655172,0.8885135,4,2,1.1301116,1.147651,1.1333333,1.1395348,1.1084337,1.115727,1.1464286,1.1710037
0,0,1,0,5,2,false,1.0881226,1.0962733,1.0705882,1.0181818,1.0562913,1.0208334,1.031348,0.9864865,4,2,1.133829,1.1442953,1.130303,1.1362126,1.1054217,1.1008902,1.1428572,1.1524163
0,0,1,0,5,2,true,1.1111112,1.1211181,1.0941176,1.060606,1.1158941,1.0902778,1.0689656,1.0608108,4,2,1.1152416,1.0771812,1.0636364,1.0963455,1.1084337,1.115727,1.15,1.1561338
0,0,1,1,1,0,false,1.0804597,1.0931677,1.0617647,1.0030303,1.0463576,1.0034722,1.015674,0.9628378,4,2,1.1115241,1.1040268,1.1030303,1.1229236,1.0993975,1.1008902,1.1392857,1.1598513
0,0,1,1,1,1,false,1.1072797,1.1086956,1.0705882,1.0060606,1.0993377,1.0555556,1.0438871,1.027027,4,2,1.1449814,1.1677853,1.1545454,1.1461794,1.0993975,1.074184,1.1107143,1.126394
0,0,1,1,1,2,false,1.072797,1.1149068,1.1058824,1.0848485,1.0231788,1.0208334,1.0062696,0.9121622,4,2,1.0855019,1.0503355,1.0333333,1.0730897,1.0993975,1.0949554,1.1321429,1.133829
0,0,1,1,2,0,true,1.0536399,1.0869565,1.0558823,1.0,1.0629139,1.03125,1.0219436,0.9662162,4,2,1.1226766,1.1208054,1.1030303,1.1196014,1.1024096,1.0949554,1.1357143,1.1449814
0,0,1,1,2,1,true,1.1800766,1.158385,1.1147059,1.0454545,0.9966887,0.9027778,0.96238244,0.9054054,4,2,1.1152416,1.1174496,1.1151515,1.1295681,1.1084337,1.0949554,1.1428572,1.1598513
0,0,1,1,2,2,true,1.065134,1.1024845,1.0794117,1.060606,0.90066224,0.9131944,0.97805643,0.8783784,4,2,1.1189591,1.1073825,1.0727273,1.0963455,1.1084337,1.1186943,1.1571429,1.1486989
0,0,1,1,3,1,false,1.0996169,1.0962733,1.0617647,1.0,1.0198675,0.9618056,0.9937304,0.9391892,4,2,1.1189591,1.1241611,1.1181818,1.1295681,1.1024096,1.0919881,1.1357143,1.1449814
0,0,1,1,3,1,true,1.1494253,1.1273292,1.0852941,1.0090909,0.99006623,0.8923611,0.9498433,0.8918919,4,2,1.1226766,1.1342282,1.1212121,1.1295681,1.1024096,1.0890207,1.1285714,1.1449814
0,0,1,1,4,0,false,1.1072797,1.1055901,1.0852941,1.0424242,1.013245,0.9722222,1.0,0.9324324,4,2,1.0966543,1.080537,1.0787879,1.1129568,1.1024096,1.1127596,1.1571429,1.1747212
0,0,1,1,4,0,true,1.0804597,1.083851,1.0588236,1.0060606,1.0397351,0.9895833,0.9968652,0.9290541,4,2,1.1078067,1.0973154,1.0909091,1.1162791,1.1054217,1.115727,1.1571429,1.1710037
0,0,1,1,5,2,false,1.091954,1.1180124,1.1029412,1.0636364,0.9701987,0.96875,0.9811912,0.8716216,4,2,1.055762,0.9899329,0.9787879,1.0498339,1.0963856,1.124629,1.1607143,1.1598513
0,0,1,1,5,2,true,1.0689656,1.083851,1.0676471,1.0242424,0.98013246,0.9479167,0.9874608,0.902027,4,2,1.1003717,1.0872483,1.0757576,1.1063123,1.1024096,1.1127596,1.1607143,1.1710037
0,0,1,2,1,0,false,1.091954,1.083851,1.0647058,1.030303,1.0198675,0.9826389,1.0062696,0.9628378,4,2,1.1003717,1.080537,1.0787879,1.1096345,1.0963856,1.0890207,1.1357143,1.1524163
0,0,1,2,1,1,false,1.0613027,1.0714285,1.0617647,1.0393939,0.9966887,0.9583333,1.0031348,0.9493243,4,2,1.1040893,1.0872483,1.0818182,1.1096345,1.0963856,1.0860534,1.1285714,1.1486989
0,0,1,2,1,2,false,1.0344827,1.0279503,0.9852941,0.9,0.93046355,0.8645833,0.90909094,0.847973,4,2,1.1635687,1.2214766,1.1727272,1.1395348,1.1084337,1.083086,1.1357143,1.0892193
0,0,1,2,2,0,true,1.0613027,1.0434783,1.0294118,0.96666664,1.0198675,0.9652778,0.99059564,0.9290541,4,2,1.1710037,1.2583892,1.2333333,1.1926911,1.1144578,1.074184,1.1678572,1.1078067
0,0,1,2,2,1,true,1.0613027,1.0465839,1.0323529,0.96666664,1.0198675,0.9618056,0.984326,0.9256757,4,2,1.1635687,1.2348993,1.2121212,1.1827242,1.1174699,1.083086,1.1678572,1.1078067
0,0,1,2,2,2,true,1.0229886,1.0124223,0.9823529,0.90909094,0.93046355,0.8611111,0.9184953,0.8412162,4,2,1.1747212,1.2785234,1.2424242,1.1993356,1.1114458,1.0534124,1.1464286,1.0892193
0,0,1,2,3,1,false,1.072797,1.0652174,1.0529412,1.0212121,0.9701987,0.9236111,0.97805643,0.9121622,4,2,1.1449814,1.1912751,1.1666666,1.1528239,1.0993975,1.0712166,1.1178571,1.1152416
0,0,1,2,3,1,true,1.045977,1.052795,1.0529412,1.0272727,0.96357614,0.9166667,0.968652,0.8547297,4,2,1.141264,1.2080537,1.1969697,1.1760798,1.1114458,1.083086,1.1607143,1.1040893
0,0,1,2,4,0,false,1.0996169,1.0869565,1.0764706,1.0575757,1.0165563,0.9756944,1.0094044,0.9628378,4,2,1.1486989,1.1778524,1.1575757,1.1395348,1.0963856,1.074184,1.1107143,1.1040893
0,0,1,2,4,0,true,1.0613027,1.052795,1.0411764,0.9939394,0.98344374,0.9305556,0.97805643,0.8986486,4,2,1.1672863,1.2483221,1.2333333,1.1960133,1.1144578,1.0801187,1.1571429,1.1115241
0,0,1,2,5,2,false,1.0536399,1.0434783,1.0117648,0.94848484,0.90066224,0.8506944,0.9122257,0.8243243,4,2,1.1561338,1.1979866,1.160606,1.1295681,1.1024096,1.0890207,1.1142857,1.1115241
0,0,1,2,5,2,true,1.0306513,1.0217391,1.0088235,0.94545454,0.9602649,0.9027778,0.9498433,0.8581081,4,2,1.1821561,1.2919463,1.269697,1.2093023,1.1144578,1.0593472,1.1464286,1.0929368
0,0,1,3,1,0,false,1.0996169,1.0869565,1.0705882,1.0424242,1.0033113,0.9618056,0.9968652,0.9391892,4,2,1.1115241,1.1174496,1.1181818,1.1229236,1.0903615,1.0771513,1.1178571,1.1189591
0,0,1,3,1,1,false,1.0842912,1.1055901,1.0764706,1.0727273,0.98675495,0.9583333,0.9811912,0.9087838,4,2,1.2081784,1.2986578,1.2272727,1.1395348,1.1024096,1.0593472,1.0964285,1.0594796
0,0,1,3,1,2,false,1.072797,1.083851,1.0558823,1.0454545,0.98675495,0.9548611,1.0,0.9459459,4,2,1.2230483,1.3456376,1.2575758,1.1661129,1.0993975,1.0059347,1.075,1.007435
0,0,1,3,2,0,true,1.0881226,1.0931677,1.0647058,1.0363636,0.9370861,0.8888889,0.95924765,0.8716216,4,2,1.1933086,1.2885906,1.230303,1.1760798,1.1024096,1.041543,1.1285714,1.078067
0,0,1,3,2,1,true,1.0766283,1.0869565,1.0588236,1.0181818,0.89403975,0.84375,0.9153605,0.7939189,4,2,1.1375464,1.2214766,1.1969697,1.179402,1.1114458,1.0593472,1.175,1.1115241
0,0,1,3,2,2,true,1.0842912,1.0931677,1.0647058,1.0454545,0.9039735,0.8645833,0.94670844,0.8445946,4,2,1.204461,1.3389262,1.2848485,1.2093023,1.1024096,1.0118694,1.1357143,1.055762
0,0,1,3,3,1,false,1.0613027,1.0931677,1.0941176,1.1,1.0298014,1.0069444,1.0031348,0.8986486,4,2,1.204461,1.2718121,1.1969697,1.1362126,1.1054217,1.0919881,1.1321429,1.0892193
0,0,1,3,3,1,true,1.0996169,1.0962733,1.0764706,1.0454545,0.9370861,0.8923611,0.94670844,0.8581081,4,2,1.0855019,1.0973154,1.1121212,1.1461794,1.1084337,1.0919881,1.1714286,1.1301116
0,0,1,3,4,0,false,1.1149426,1.1055901,1.082353,1.0666667,0.9966887,0.9618056,0.9968652,0.9391892,4,2,1.1189591,1.1442953,1.1393939,1.1328903,1.0933735,1.0623145,1.1107143,1.0892193
0,0,1,3,4,0,true,1.1111112,1.0962733,1.0764706,1.060606,0.9370861,0.8958333,0.96238244,0.8783784,4,2,1.1858736,1.3020134,1.260606,1.2059801,1.1054217,1.0267062,1.1464286,1.0743494
0,0,1,3,5,2,false,1.0881226,1.0900621,1.0647058,1.0454545,0.9735099,0.9409722,0.984326,0.9121622,4,2,1.1115241,1.1778524,1.1636363,1.1495017,1.0903615,1.0326409,1.1071428,1.0483271
0,0,1,3,5,2,true,1.0881226,1.0776397,1.0558823,1.0333333,0.93046355,0.875,0.9498433,0.8614865,4,2,1.1858736,1.3053691,1.2636364,1.2026578,1.0963856,1.0178041,1.1285714,1.063197
0,0,1,4,1,0,false,1.1187739,1.1024845,1.0852941,1.0818182,1.0264901,0.9965278,1.0250784,0.9932432,4,2,1.1152416,1.1375839,1.130303,1.1328903,1.0813253,1.0474777,1.1,1.0855019
0,0,1,4,1,1,false,1.1149426,1.1118013,1.0911765,1.0969697,0.9735099,0.9479167,0.9968652,0.9594595,4,2,1.275093,1.4496645,1.3303031,1.1960133,1.063253,0.92284864,1.0285715,0.98141265
0,0,1,4,1,2,false,1.0689656,1.0776397,1.0617647,1.0424242,0.9933775,0.9583333,0.9937304,0.9189189,4,2,1.1672863,1.2516779,1.2212121,1.1694353,1.0843374,1.0267062,1.0535715,1.0594796
0,0,1,4,3,1,true,1.0996169,1.0869565,1.0764706,1.069697,1.0231788,0.9895833,1.015674,0.9898649,4,2,1.1040893,1.1006712,1.1,1.1096345,1.0722891,1.0593472,1.0892857,1.1040893
0,0,1,4,4,0,false,1.0996169,1.083851,1.0794117,1.0727273,1.0331125,1.0,1.0250784,1.0,4,2,1.1152416,1.1308725,1.1212121,1.1229236,1.0753012,1.0534124,1.0928571,1.0966543
0,0,1,4,4,0,true,1.1149426,1.0931677,1.082353,1.0666667,0.9735099,0.9340278,0.984326,0.9324324,4,2,1.1524163,1.2013422,1.1484848,1.1262459,1.0692772,1.0296736,1.1071428,1.0817844
0,0,1,4,5,2,false,1.0996169,1.0900621,1.082353,1.069697,1.0099338,0.9756944,1.0031348,0.9425676,4,2,1.1189591,1.1308725,1.1181818,1.1162791,1.0722891,1.0474777,1.0714285,1.078067
0,0,1,4,5,2,true,1.0881226,1.0714285,1.0676471,1.0424242,0.9701987,0.9270833,0.97805643,0.9189189,4,2,1.1784387,1.2449664,1.1848484,1.1428572,1.0783132,1.0356083,1.1,1.070632
0,0,2,0,1,0,false,1.0035211,0.990991,0.9811912,0.9807692,1.0206896,1.0165017,1.0034722,1.0064934,4,1,0.97472924,0.9574468,0.9695946,0.9730539,0.99358976,1.0060422,0.99310344,1.0064516
